doi,authors
10.2307/2095905,"['Jane D. McLeod', 'Michael J. Shanahan']"
10.1002/jclp.21951,"['Catherine DeCarlo Santiago', 'Stacey Kaltman', 'Jeanne Miranda']"
10.1192/bjb.2020.78,"['Lee Knifton', 'Greig Inglis']"
10.1111/j.1939-0025.2010.01007.x,"['Thema Bryant‐Davis', 'Sarah E. Ullman', 'Yuying Tsong', 'Shaquita Tillman', 'Kimberly Smith']"
10.2307/2137292,"['Jane D. McLeod', 'Michael J. Shanahan']"
10.1186/s12905-020-01149-5,"['Lauren Cardoso', 'Anna Scolese', 'Alzahra Hamidaddin', 'Jhumka Gupta']"
10.1016/j.socscimed.2016.03.009,"['Lori E. Ross', 'Laurel O’Gorman', 'Melissa A. MacLeod', 'Greta R. Bauer', 'Jenna MacKay', 'Margaret Robinson']"
10.1186/1752-1505-3-6,"['Lamaro P. Onyut', 'Frank Neuner', 'Verena Ertl', 'Elisabeth Schauer', 'Michael Odenwald', 'Thomas Elbert']"
10.1002/jclp.21957,"['Lisa A. Goodman', 'Meghan R. Pugach', 'Avy A. Skolnik', 'Laura Smith']"
10.3390/ijerph17186726,"['Boqiang Lin', 'Michael Adu Okyere']"
10.2105/ajph.92.2.220,"['Morton Beiser', 'Fengsu Hou', 'Ilene Hyman', 'Michel Tousignant']"
10.2105/ajph.93.5.792,"['Julian Chun‐Chung Chow', 'Kim D. Jaffee', 'Lonnie R. Snowden']"
10.2105/ajph.91.6.927,"['Rafael M. Díaz', 'George Ayala', 'Edward Bein', 'Jeff Henne', 'Bárbara VanOss Marín']"
10.1192/apt.10.3.216,"['Vijaya Murali', 'Femi Oyebode']"
10.1002/smi.2646,"['Pilyoung Kim', 'Cynthia Neuendorf', 'Hannah Bianco', 'Gary W. Evans']"
10.2307/353111,"['Pamela Kato Klebanov', 'Jeanne Brooks‐Gunn', 'Greg J. Duncan']"
10.3389/fpubh.2022.975482,"['Derin Marbin', 'Stefan Gutwinski', 'Stefanie Schreiter', 'Andreas Heinz']"
10.1136/bmj.330.7486.307-b,"['Katy J Booth', 'Woody Caan']"
10.1177/2167702613501496,"['Gary W. Evans', 'Rochelle C. Cassells']"
10.2105/ajph.58.7.1300-b,['John C. Glidewell']
10.1300/j013v12n03_11,['Maisha B.H. Bennett']
,"['Abraham Kuruvilla', 'KS Jacob']"
10.1093/hsw/hlt013,"['Ujunwa Anakwenze', 'Daniyal Zuberi']"
10.1017/s2045796015000086,['Jonathan K. Burns']
10.1111/spc3.12168,['China Mills']
10.1108/17465721211289356,"['Michelle Funk', 'Natalie Drew', 'Martín Knapp']"
10.1590/s0104-11692007000700012,"['Rodrigo Sanches Peres', 'Manoel Antônio dos Santos']"
10.3389/fgwh.2023.1128169,"['Aishwarya Rohatgi', 'Sambit Dash']"
10.1186/s12905-023-02328-w,"['Marga Marí‐Klose', 'Albert Julià', 'Sandra Escapa', 'Pedro Gallo']"
10.1097/mlr.0000000000001186,"['Folasade P. May', 'Elizabeth M. Yano', 'Dawn Provenzale', 'W. Neil Steers', 'Donna L. Washington']"
10.1002/(sici)1099-1298(199612)6:5<395::aid-casp390>3.0.co;2-2,"['Richard Pacitti', 'Julia Dimmick']"
10.1016/s2468-2667(17)30011-7,"['Sophie Wickham', 'Margaret Whitehead', 'David Taylor‐Robinson', 'Ben Barr']"
10.1186/1472-698x-9-5,"['Joshua Ssebunnya', 'Fred Kigozi', 'Crick Lund', 'Dorothy Kizza', 'Elialilia S. Okello']"
10.1007/s10464-010-9385-y,"['Valentina Nikulina', 'Cathy Spatz Widom', 'Sally J. Czaja']"
10.1080/10875549.2021.1910102,"['Tania Nagpaul', 'Dalvin Sidhu', 'Jinwen Chen']"
10.1080/07399332.2022.2070625,"['Brice Gouvernet', 'F. Sebbe', 'Pierre Chapillon', 'Amine Rezrazi', 'Julie Brisson']"
10.1371/journal.pone.0090718,"['Kamaldeep Bhui', 'Nasir Warfa', 'Edgar Jones']"
10.15585/mmwr.mm6750a1,"['Robyn A. Cree', 'Rebecca H. Bitsko', 'Lara R. Robinson', 'Joseph R. Holbrook', 'Melissa L. Danielson', 'Camille Smith', 'Jennifer W. Kaminski', 'Mary Kay Kenney', 'Georgina Peacock']"
10.1111/cdev.12771,"['Rebekah Levine Coley', 'Jacqueline Sims', 'Eric Dearing', 'Bryn Spielvogel']"
10.1542/peds.2011-2663,"['Jack P. Shonkoff', 'Andrew S. Garner', 'Ben Siegel', 'Mary I. Dobbins', 'Marian F. Earls', 'Andrew S. Garner', 'Laura McGuinn', 'John M. Pascoe', 'David L. Wood']"
10.1192/bjp.2019.19,"['Jessica Deighton', 'Suzet Tanya Lereya', 'Polly Casey', 'Praveetha Patalay', 'Neil Humphrey', 'Miranda Wolpert']"
10.1093/ije/dyac226,"['RM Thomson', 'Daniel Kopasker', 'Alastair H. Leyland', 'Anna Pearce', 'Srinivasa Vittal Katikireddi']"
10.1111/j.1468-0262.2007.00733.x,"['Jeffrey R. Kling', 'Jeffrey B. Liebman', 'Lawrence F. Katz']"
